Anno,Regione,Comune,Localita,Codice stazione,Bacino idrografico,Corpo idrico,Livello di contaminazione,Campioni,Misure,n misure positive,Sostanze cercate,Sostanze trovate,Pesticidi totali,x,y
2020,Lombardia,Porto  Ceresio,,N0080980350513021LO1,LAGO DI LUGANO (CERESIO)- Bolletta  (Rio),dalla sorgente alla immissione nel lago di Lugano,Superiore ai limiti,4,472,11,109,2,4.81,990212.657475493,5765314.21485602
2020,Lombardia,Fombio,Ponte Loc. Ca' Bianca - ex SS 9,N0082500032LO1,Po- Brembiolo (Roggia),da Casalpusterlengo alla immissione in Mortizza,Superiore ai limiti,5,586,21,109,3,2.108,1078253.19454235,5640907.9393909
2020,Lombardia,Perledo,Foce- ponte pedon. Imbarcadero,N0080010571LO1,LAGO DI COMO (LARIO)- Esino (Torrente),dalla sorgente alla immissione nel lago di Como,Entro i limiti,5,10,5,2,1,0.127,1033383.51262742,5782704.89766727
2020,Lombardia,Sesto Calende,,N0080980191IR1,TICINO SUBLACUALE- Lenza (Torrente),dalla sorgente alla immissione nel Ticino,Entro i limiti,5,580,6,107,2,0.2,960350.219355464,5736340.29264838
2020,Lombardia,Goito,"Casale Sacca, a monte del diversivo del Mincio",N0080564IR1,MINCIO- Mincio (Fiume),dal Naviglio di Goito ai laghi di Mantova,Entro i limiti,4,472,12,109,1,0.275,1188511.77881604,5657079.88750206
2020,Lombardia,Milano,sottopassaggio ciclo pedonale alla convergenza tra via Valenza e Alzaia Naviglio Grande,001098160011IR1,TICINO SUBLACUALE- Naviglio Grande (Canale),-,Superiore ai limiti,3,354,3,109,1,0.291,1020578.77273199,5692710.30679757
2020,Lombardia,Collio,,N008060008121LO1,MELLA- Mella (Fiume),Dorgola (Torrente),Entro i limiti,3,354,1,109,1,0.08,1147730.97696042,5751232.75797836
2020,Lombardia,Sermide,,N00819IR1,Po- Po (Fiume),dal Mincio al confine regionale,Superiore ai limiti,2,236,6,109,1,0.431,1256798.50608089,5623943.16254293
2020,Lombardia,Ponti sul Mincio,,N0080560052LO1,MINCIO- Redone (Torrente),dal Fossa Redone alla immissione in Mincio,Superiore ai limiti,4,473,21,110,4,0.99,1191683.62228365,5683919.22014542
2020,Lombardia,Castellucchio,,POMI3OSCA1LO1,MINCIO- Osone Vecchio (Cavo),Canale Osone,Superiore ai limiti,5,588,16,109,2,3.059,1186910.69880632,5644715.65932295
2020,Lombardia,Serravalle a Po,,FTCA1IR1,FISSERO-TARTARO- Fissero (Canale) - Canalbianco (Canale),da derivazione dal fiume Mincio a conca di navigazione - Affluenza del canale Bussè,Superiore ai limiti,5,591,20,110,4,0.836,1236452.95269947,5636938.54155291
2020,Lombardia,Cesano Maderno,via Como(via Eritrea),N00800109101012LO1,SEVESO- Terrò (Torrente),dal depuratore di Mariano Comense a immissione nel Seveso,Superiore ai limiti,5,590,32,109,3,4.634,1017890.37388918,5721684.54543466
2020,Lombardia,Limone sul Garda,,N008056007451LO1,LAGO DI GARDA (BENACO)- San Giovanni (Torrente),da sorgente a immissione nel lago di Garda,Entro i limiti,4,464,1,107,1,0.08,1200839.48069544,5750284.91176612
2020,Lombardia,Ponte Nossa,Ponte del Costone,N0080010234LO1,SERIO- Serio (Fiume),dall'Acqualina fino alla confluenza del Nese,Entro i limiti,4,473,1,110,1,0.05,1100109.02551226,5756529.68270248
2020,Lombardia,S. Stefano Lodigiano,ponte SP 145,N0082501LO1,Po- Mortizza (Rio) - Ancona (Colatore),dalla sorgente alla immissione nel Po,Superiore ai limiti,5,480,18,109,4,1.46,1083882.6712026,5638190.81407928
