Comune,Livello di contaminazione,count
castelnovocilento(sa),Non quantificabile,1
castelnuovo belbo,Superiore ai limiti,1
castelnuovo bocca dadda,Superiore ai limiti,2
castelnuovo scrivia,Non quantificabile,1
castelpoto(bn),Non quantificabile,1
castelraimondo,Non quantificabile,2
castelvenere(bn),Superiore ai limiti,1
castelvetrano,Superiore ai limiti,1
castelvolturno(ce),Superiore ai limiti,1
castenaso,Non quantificabile,1
castenedolo,Entro i limiti,1
castiglion fiorentino,Superiore ai limiti,2
castiglione d'orcia,Entro i limiti,1
castiglione del lago,Entro i limiti,1
castiglione del lago,Superiore ai limiti,1
castiglione della pescaia,Superiore ai limiti,1
castiraga vidardo,Superiore ai limiti,1
castrezzato,Superiore ai limiti,1
castro,Non quantificabile,2
castro dei volsci,Entro i limiti,1
castrocaro terme e terra del sole,Superiore ai limiti,1
castronuovo di sicilia,Entro i limiti,1
castronuovo di sicilia,Non quantificabile,1
castropignano,Non quantificabile,1
cattolica,Entro i limiti,1
cattolica,Superiore ai limiti,1
cavade'tirreni(sa),Superiore ai limiti,1
cavarzere,Entro i limiti,1
cavarzere,Non quantificabile,1
cavarzere,Superiore ai limiti,1
cavenago,Superiore ai limiti,1
cavriglia,Entro i limiti,1
cavriglia,Non quantificabile,1
cazzago brabbia,Superiore ai limiti,1
cazzago s. martino,Superiore ai limiti,1
ceccano,Non quantificabile,1
ceccano,Superiore ai limiti,1
cecina,Non quantificabile,1
ceggia,Superiore ai limiti,1
celenza valfortore,Entro i limiti,1
celledibulgheria(sa),Non quantificabile,1
cellino attanasio,Non quantificabile,2
cellole(ce),Superiore ai limiti,1
centallo,Non quantificabile,1
centola(sa),Non quantificabile,2
ceprano,Non quantificabile,1
cerano,Non quantificabile,1
cerano,Superiore ai limiti,1
ceranova,Superiore ai limiti,1
cerea,Superiore ai limiti,3
ceres,Non quantificabile,1
ceresara,Superiore ai limiti,1
ceriale,Superiore ai limiti,1
cerignola,Non quantificabile,1
cerignola,Superiore ai limiti,2
cernobbio,Superiore ai limiti,1
cerrina,Entro i limiti,1
cervesina,Superiore ai limiti,1
cerveteri,Entro i limiti,1
cervia,Non quantificabile,1
cesano maderno,Superiore ai limiti,1
cesena,Non quantificabile,3
cesenatico,Non quantificabile,1
cesinali(av),Non quantificabile,1
charvensod,Non quantificabile,1
chiarano,Superiore ai limiti,1
chiari,Non quantificabile,1
chieuti,Entro i limiti,1
chieuti,Superiore ai limiti,1
chieve,Superiore ai limiti,1
chignolo po,Superiore ai limiti,1
chioggia,Entro i limiti,3
chioggia,Superiore ai limiti,1
chiusdino,Non quantificabile,1
chiusi,Entro i limiti,1
chivasso,Entro i limiti,1
chivasso,Superiore ai limiti,1
châtillon,Non quantificabile,1
cigognolo,Entro i limiti,1
cingoli,Superiore ai limiti,1
cinigiano,Non quantificabile,1
citerna,Entro i limiti,1
città di castello,Entro i limiti,2
città di castello,Superiore ai limiti,1
città sant' angelo,Non quantificabile,1
civezzano,Non quantificabile,1
cividate al piano,Non quantificabile,1
civita castellana,Entro i limiti,1
civitanova del sannio,Non quantificabile,1
civitanova marche,Non quantificabile,1
civitella del tronto,Non quantificabile,1
claino  con osteno,Entro i limiti,1
cles,Entro i limiti,1
codevigo,Superiore ai limiti,2
codigoro,Entro i limiti,1
codigoro,Superiore ai limiti,1
colbordolo,Non quantificabile,1
colle d'anchise,Non quantificabile,1
colledara,Non quantificabile,1
colleferro,Non quantificabile,1
colleferro,Superiore ai limiti,1
collesalvetti,Non quantificabile,1
colli al volturno,Non quantificabile,1
colli sul velino,Non quantificabile,1
collio,Entro i limiti,3
collio,Non quantificabile,1
collobiano,Superiore ai limiti,1
cologna veneta,Superiore ai limiti,1
colombare,Superiore ai limiti,1
colorno,Superiore ai limiti,4
comacchio,Superiore ai limiti,2
comano terme,Entro i limiti,3
comano terme,Non quantificabile,1
comiso,Superiore ai limiti,1
como,Superiore ai limiti,2
comunanza,Non quantificabile,1
cona,Entro i limiti,1
consiglio di rumo,Non quantificabile,1
contigliano,Non quantificabile,1
controne(sa),Non quantificabile,1
contà,Entro i limiti,1
conzadellacampania(av),Non quantificabile,1
conzadellacampania(av),Superiore ai limiti,1
corbola,Superiore ai limiti,1
correzzola,Superiore ai limiti,1
corridonia,Non quantificabile,1
corte de' frati,Non quantificabile,1
cortemaggiore,Superiore ai limiti,1
corteno golgi,Non quantificabile,1
cortenova,Non quantificabile,1
cortiglione,Superiore ai limiti,1
cortina d'ampezzo,Non quantificabile,1
