City,Value,Category
Grosseto,3.587,VehicleDensity
Perugia,2.396,VehicleDensity
Terni,2.976,VehicleDensity
Pesaro,4.311,VehicleDensity
Ancona,3.629,VehicleDensity
Macerata,3.699,VehicleDensity
Fermo,3.481,VehicleDensity
Ascoli Piceno,2.923,VehicleDensity
Viterbo,4.734,VehicleDensity
Rieti,2.522,VehicleDensity
Roma,4.54,VehicleDensity
Latina,2.471,VehicleDensity
Frosinone,2.111,VehicleDensity
L'Aquila,1.996,VehicleDensity
Teramo,3.809,VehicleDensity
Pescara,3.88,VehicleDensity
Chieti,2.979,VehicleDensity
Isernia,5.932,VehicleDensity
Campobasso,4.748,VehicleDensity
Caserta,3.2,VehicleDensity
Benevento,4.14,VehicleDensity
Napoli,7.354,VehicleDensity
Avellino,4.054,VehicleDensity
Salerno,5.241,VehicleDensity
Foggia,6.532,VehicleDensity
Andria,7.046,VehicleDensity
Barletta,6.146,VehicleDensity
Trani,5.262,VehicleDensity
Bari,4.051,VehicleDensity
Taranto,3.27,VehicleDensity
Brindisi,4.084,VehicleDensity
Lecce,2.431,VehicleDensity
Potenza,2.525,VehicleDensity
Matera,5.817,VehicleDensity
Cosenza,4.723,VehicleDensity
Crotone,2.493,VehicleDensity
Catanzaro,2.826,VehicleDensity
Vibo Valentia,2.381,VehicleDensity
Reggio di Calabria,2.573,VehicleDensity
Trapani,2.807,VehicleDensity
Palermo,6.501,VehicleDensity
Messina,4.616,VehicleDensity
Agrigento,3.21,VehicleDensity
Caltanissetta,3.856,VehicleDensity
Enna,4.066,VehicleDensity
Catania,5.424,VehicleDensity
Ragusa,3.059,VehicleDensity
Siracusa,3.854,VehicleDensity
Sassari,2.728,VehicleDensity
Nuoro,4.291,VehicleDensity
Oristano,3.483,VehicleDensity
Cagliari,4.945,VehicleDensity
Carbonia,2.703,VehicleDensity
,,VehicleDensity
Nord (*) ,3.695,VehicleDensity
Nord-ovest (*),4.532,VehicleDensity
Nord-est (*),2.986,VehicleDensity
Centro (*),3.686,VehicleDensity
Mezzogiorno (*) ,4.347,VehicleDensity
Sud (*),4.207,VehicleDensity
Isole (*),4.571,VehicleDensity
,,VehicleDensity
Capoluoghi di città metropolitana,4.998,VehicleDensity
Capoluoghi di provincia (*),3.197,VehicleDensity
,,VehicleDensity
Italia (*),3.905,VehicleDensity
